tanggal,pm10,so2,co,o3,no2,max,critical,kategori
05/15/22,36,17,22,80,9,80,O3,SEDANG
05/16/22,24,18,13,46,3,46,O3,BAIK
05/17/22,34,24,15,50,4,50,O3,BAIK
05/18/22,40,26,17,33,7,40,PM10,BAIK
05/19/22,25,16,15,51,4,51,O3,SEDANG
05/20/22,65,18,30,57,5,65,PM10,SEDANG
05/21/22,67,20,35,98,10,98,O3,SEDANG
05/22/22,41,18,17,52,7,52,O3,SEDANG
05/23/22,76,18,50,66,7,76,PM10,SEDANG
05/24/22,43,16,19,45,8,45,O3,BAIK
05/25/22,52,18,21,41,8,52,PM10,SEDANG
05/26/22,57,17,34,47,9,57,PM10,SEDANG
05/27/22,55,15,29,50,10,55,PM10,SEDANG
05/28/22,46,15,27,40,7,46,PM10,BAIK
05/29/22,36,14,27,80,6,80,O3,SEDANG
05/30/22,57,16,42,89,7,89,O3,SEDANG
05/31/22,31,14,17,58,7,58,O3,SEDANG
06/01/22,65,16,35,65,9,65,PM10,SEDANG
06/02/22,56,17,25,73,5,73,O3,SEDANG
06/03/22,27,19,16,61,8,61,O3,SEDANG
06/04/22,46,16,24,44,7,46,PM10,BAIK
06/05/22,68,15,25,29,5,106,PM25,TIDAK SEHAT
06/06/22,32,2,12,29,9,32,PM10,BAIK
06/07/22,52,5,11,35,9,52,PM10,SEDANG
06/08/22,50,4,4,30,8,50,PM10,BAIK
06/09/22,51,7,7,34,9,51,PM10,SEDANG
06/10/22,44,4,4,29,7,44,PM10,BAIK
06/11/22,50,4,3,48,9,50,PM10,BAIK
06/12/22,60,4,4,60,10,60,PM10,SEDANG
06/13/22,56,4,3,34,12,56,PM10,SEDANG
06/14/22,64,5,3,44,12,64,PM10,SEDANG
06/15/22,44,2,4,47,8,47,O3,BAIK
06/16/22,47,3,4,62,10,62,O3,SEDANG
06/17/22,54,2,3,38,8,54,PM10,SEDANG
06/18/22,56,7,9,42,9,56,PM10,SEDANG
06/19/22,60,7,7,40,9,60,PM10,SEDANG
06/20/22,58,6,8,57,8,58,PM10,SEDANG
06/21/22,60,6,8,83,7,83,O3,SEDANG
06/22/22,54,4,6,43,10,54,PM10,SEDANG
06/23/22,30,8,8,59,13,59,O3,SEDANG
06/24/22,50,12,10,34,8,50,PM10,BAIK
06/25/22,27,7,7,49,9,49,O3,BAIK
06/26/22,58,8,7,42,8,58,PM10,SEDANG
06/27/22,42,3,10,52,8,52,O3,SEDANG
06/28/22,41,3,8,43,5,43,O3,BAIK
06/29/22,26,2,4,27,5,27,O3,BAIK
06/30/22,32,4,5,29,8,32,PM10,BAIK
07/01/22,22,4,4,65,8,65,O3,SEDANG
07/02/22,44,5,6,90,16,90,O3,SEDANG
07/03/22,58,8,6,74,12,74,O3,SEDANG
07/04/22,52,16,7,41,10,52,PM10,SEDANG
07/05/22,48,14,7,46,9,48,PM10,BAIK
07/06/22,55,26,12,53,5,55,PM10,SEDANG
07/07/22,36,17,7,48,5,48,O3,BAIK
07/08/22,60,34,17,47,5,60,PM10,SEDANG
07/09/22,53,20,7,48,6,53,PM10,SEDANG
07/10/22,53,21,10,42,8,53,PM10,SEDANG
07/11/22,52,18,9,45,5,52,PM10,SEDANG
07/12/22,69,23,13,113,7,113,O3,TIDAK SEHAT
07/13/22,62,20,9,64,9,64,O3,SEDANG
07/14/22,51,15,8,49,6,51,PM10,SEDANG
07/15/22,59,17,14,57,11,59,PM10,SEDANG
07/16/22,50,24,11,62,7,62,O3,SEDANG
07/17/22,54,21,14,55,10,55,O3,SEDANG
07/18/22,55,16,8,55,7,55,PM10,SEDANG
07/19/22,61,23,8,56,12,61,PM10,SEDANG
07/20/22,71,24,13,115,14,115,O3,TIDAK SEHAT
07/21/22,65,21,9,112,11,112,O3,TIDAK SEHAT
07/22/22,64,20,13,101,14,101,O3,TIDAK SEHAT
07/23/22,59,20,8,115,10,115,O3,TIDAK SEHAT
07/24/22,42,21,14,56,9,56,O3,SEDANG
07/25/22,54,17,9,57,9,57,O3,SEDANG
07/26/22,33,23,9,79,12,79,O3,SEDANG
07/27/22,56,18,16,62,17,62,O3,SEDANG
07/28/22,33,22,8,68,6,68,O3,SEDANG
07/29/22,50,18,17,65,11,65,O3,SEDANG
07/30/22,40,25,12,44,9,44,O3,BAIK
07/31/22,43,42,12,45,8,45,O3,BAIK
08/01/22,28,16,7,76,10,76,O3,SEDANG
08/02/22,56,35,14,113,12,113,O3,TIDAK SEHAT
08/03/22,57,27,11,68,10,68,O3,SEDANG
08/04/22,57,38,15,57,11,57,PM10,SEDANG
08/05/22,45,32,12,56,9,56,O3,SEDANG
08/06/22,55,18,21,58,4,58,O3,SEDANG
08/07/22,25,19,12,46,5,46,O3,BAIK
08/08/22,62,20,35,49,8,62,PM10,SEDANG
08/09/22,40,19,14,35,5,40,PM10,BAIK
